timestamp	exp_name	val_energy	energy_error	num_params	actual_steps	training_sec	comment
2026-03-11 13:12:18	AutoSearch_LiH_Phase2_Grid_cfg0	-7.749386	0.000007	22	600	14.77	config: entanglement=linear, init_state=hf, layers=2, single_qubit_gates=['ry', 'rz'], two_qubit_gate=rzz
2026-03-11 13:12:28	AutoSearch_LiH_Phase2_Grid_cfg1	-7.749394	0.000000	28	396	10.72	config: entanglement=full, init_state=hf, layers=2, single_qubit_gates=['ry', 'rz'], two_qubit_gate=rzz
2026-03-11 13:12:42	AutoSearch_LiH_Phase2_Grid_cfg2	-7.749385	0.000009	34	600	13.75	config: entanglement=linear, init_state=hf, layers=2, single_qubit_gates=['ry', 'rz'], two_qubit_gate=rxx_ryy_rzz
